survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
0,3,0,0.3715564738292011,1,0,0.09874727168098502,0,Third,man,True,Southampton,no,False
1,1,1,0.647038567493113,1,0,0.9709008815747805,1,First,woman,False,Cherbourg,yes,False
1,3,1,0.4404269972451791,0,0,0.1079409831823181,0,Third,woman,False,Southampton,yes,True
1,1,1,0.5953856749311295,1,0,0.7232386381048695,0,First,woman,False,Southampton,yes,False
0,3,0,0.5953856749311295,0,0,0.10964352234923165,0,Third,man,True,Southampton,no,True
0,3,0,0.474862258953168,0,0,0.115204696284038,2,Third,man,True,Queenstown,no,True
0,1,0,0.9225206611570248,0,0,0.7063835003524255,0,First,man,True,Southampton,no,True
0,3,0,0.027203856749311296,3,1,0.28704810354162197,0,Third,child,False,Southampton,no,False
1,3,1,0.45764462809917356,0,2,0.15163903445598764,0,Third,woman,False,Southampton,yes,False
1,2,1,0.23381542699724517,1,0,0.4095737182433881,1,Second,child,False,Cherbourg,yes,False
1,3,1,0.061639118457300274,1,1,0.22745923269964824,0,Third,child,False,Southampton,yes,False
1,1,1,0.9913911845730028,0,0,0.3616193190524348,0,First,woman,False,Southampton,yes,True
0,3,0,0.33712121212121215,0,0,0.10964352234923165,0,Third,man,True,Southampton,no,True
0,3,0,0.6642561983471075,1,5,0.4259752995617664,0,Third,man,True,Southampton,no,False
0,3,1,0.23381542699724517,0,0,0.10697666499817828,0,Third,child,False,Southampton,no,True
1,2,1,0.9397382920110193,0,0,0.21792501336493245,0,Second,woman,False,Southampton,yes,True
0,3,0,0.027203856749311296,4,1,0.3966916258908536,2,Third,child,False,Queenstown,no,False
1,2,0,0.474862258953168,0,0,0.17706407335900762,0,Second,man,True,Southampton,yes,True
0,3,1,0.5265151515151515,1,0,0.245165640035549,0,Third,woman,False,Southampton,no,False
1,3,1,0.474862258953168,0,0,0.0984067638476023,1,Third,woman,False,Cherbourg,yes,True
0,2,0,0.5953856749311295,0,0,0.35412814671801524,0,Second,man,True,Southampton,no,True
1,2,0,0.578168044077135,0,0,0.17706407335900762,0,Second,man,True,Southampton,yes,True
1,3,1,0.2510330578512397,0,0,0.10936021983185722,2,Third,child,False,Queenstown,yes,True
1,1,0,0.474862258953168,0,0,0.4835211234034439,0,First,man,True,Southampton,yes,True
0,3,1,0.13050964187327824,3,1,0.28704810354162197,0,Third,child,False,Southampton,no,False
1,3,1,0.647038567493113,1,5,0.4275075848119886,0,Third,woman,False,Southampton,yes,False
0,3,0,0.474862258953168,0,0,0.0984067638476023,1,Third,man,True,Cherbourg,no,True
0,1,0,0.31990358126721763,3,2,1.0,0,First,man,True,Southampton,no,False
1,3,1,0.474862258953168,0,0,0.10731717283156099,2,Third,woman,False,Queenstown,yes,True
0,3,0,0.474862258953168,0,0,0.1075432700329271,0,Third,man,True,Southampton,no,True
0,1,0,0.681473829201102,0,0,0.37756598190541374,1,First,man,True,Cherbourg,no,True
1,1,1,0.474862258953168,1,0,1.0,1,First,woman,False,Cherbourg,yes,False
1,3,1,0.474862258953168,0,0,0.10555742834863915,2,Third,woman,False,Queenstown,yes,True
0,2,0,1.0,0,0,0.14301329002073693,0,Second,man,True,Southampton,no,True
0,1,0,0.474862258953168,1,0,1.0,1,First,man,True,Cherbourg,no,False
0,1,0,0.7159090909090909,1,0,0.7082562934360305,0,First,man,True,Southampton,no,False
1,3,0,0.474862258953168,0,0,0.0984639691636106,1,Third,man,True,Cherbourg,yes,True
0,3,0,0.3543388429752066,0,0,0.10964352234923165,0,Third,man,True,Southampton,no,True
0,3,1,0.30268595041322316,2,0,0.245165640035549,0,Third,woman,False,Southampton,no,False
1,3,1,0.23381542699724517,1,0,0.15311547642153506,1,Third,child,False,Cherbourg,yes,False
0,3,1,0.681473829201102,1,0,0.12905246885204594,0,Third,woman,False,Southampton,no,False
0,2,1,0.45764462809917356,1,0,0.28602658004147385,0,Second,woman,False,Southampton,no,False
0,3,0,0.474862258953168,0,0,0.1075432700329271,1,Third,man,True,Cherbourg,no,True
1,2,1,0.04442148760330579,1,2,0.56632173223145,1,Second,child,False,Cherbourg,yes,False
1,3,1,0.31990358126721763,0,0,0.10731717283156099,2,Third,woman,False,Queenstown,yes,True
0,3,0,0.474862258953168,0,0,0.10964352234923165,0,Third,man,True,Southampton,no,True
0,3,0,0.474862258953168,1,0,0.2111148566972783,2,Third,man,True,Queenstown,no,False
0,3,0,0.474862258953168,2,0,0.2952774968588152,1,Third,man,True,Cherbourg,no,False
0,3,1,0.30268595041322316,1,0,0.24244157736848734,0,Third,woman,False,Southampton,no,False
0,3,0,0.11329201101928374,4,1,0.5405561854950472,0,Third,child,False,Southampton,no,False
0,3,0,0.3543388429752066,0,0,0.10623844401540457,0,Third,man,True,Southampton,no,True
1,1,1,0.8364325068870524,1,0,1.0,1,First,woman,False,Cherbourg,yes,False
1,2,1,0.49207988980716255,1,0,0.35412814671801524,0,Second,woman,False,Southampton,yes,False
0,1,0,1.0,0,1,0.8441761242717388,1,First,man,True,Cherbourg,no,False
1,2,1,0.3543388429752066,0,0,0.14301329002073693,0,Second,woman,False,Southampton,yes,True
0,3,0,0.4834710743801653,0,0,0.0984639691636106,1,Third,man,True,Cherbourg,no,True
1,2,1,0.07885674931129477,1,2,0.3779636950548047,0,Second,child,False,Southampton,yes,False
0,3,0,0.1821625344352617,5,2,0.6387926954259582,0,Third,child,False,Southampton,no,False
0,3,0,0.3715564738292011,0,0,0.0984639691636106,1,Third,man,True,Cherbourg,no,True
1,1,1,0.647038567493113,0,0,1.0,0,First,woman,False,Southampton,yes,True
0,1,0,0.7675619834710744,1,0,1.0,0,First,man,True,Southampton,no,False
0,3,0,0.061639118457300274,3,2,0.38000674205510093,0,Third,child,False,Southampton,no,False
0,1,0,0.474862258953168,0,0,0.37756598190541374,1,First,man,True,Cherbourg,no,True
1,3,0,0.474862258953168,1,1,0.20765257304744292,1,Third,man,True,Cherbourg,yes,False
1,2,1,0.49207988980716255,0,0,0.14301329002073693,0,Second,woman,False,Southampton,yes,True
0,3,0,0.31990358126721763,0,0,0.11111860228344553,0,Third,man,True,Southampton,no,True
1,3,1,0.28546831955922863,4,2,0.1079409831823181,0,Third,woman,False,Southampton,yes,False
